day_type,hour,avg_riders,p10,p90
Weekday,0,1734.0361010830325,1245.8,2360.2
Weekday,1,785.202166064982,522.6,1040.8
Weekday,2,557.6931407942238,400.2,705.6
Weekday,3,682.826714801444,546.8,797
Weekday,4,1916.5884476534295,1639,2195.4
Weekday,5,7265.805054151625,6656,8041.799999999999
Weekday,6,16898.43321299639,14752.2,19431.6
Weekday,7,35601.17328519856,25936.4,43530.8
Weekday,8,46437.148014440434,32009.4,57490.4
Weekday,9,28495.357400722023,22466.6,33575
Weekday,10,17756.328519855597,16037.8,19734.6
Weekday,11,15688.72202166065,14390.8,16975.8
Weekday,12,15535.324909747293,14166.8,16921
Weekday,13,17033.480144404333,15554.8,18743.800000000003
Weekday,14,19990.56678700361,16788.2,22542.4
Weekday,15,23499.03249097473,20219,26219.800000000003
Weekday,16,25498.45487364621,22973.4,28124.800000000003
Weekday,17,28037.028880866426,25388.800000000003,31039.2
Weekday,18,22338.09025270758,19527.8,25381.4
Weekday,19,15351.375451263539,13058.6,18530
Weekday,20,11248.16606498195,9371.4,13770.400000000001
Weekday,21,8923.137184115523,7120.8,11174.6
Weekday,22,7441.516245487364,5441.4,9942.2
Weekday,23,4588.364620938628,2966.6,7544.800000000001
Weekend,0,4636.6,3295.2999999999997,5685.6
Weekend,1,2630.1363636363635,1744.1,3228.8000000000006
Weekend,2,1746.2018348623853,1041,2131.2
Weekend,3,1257.409090909091,838.8000000000001,1511.8000000000002
Weekend,4,1310.4272727272728,1024.6,1588.1
Weekend,5,2254.190909090909,1737.5,2796.9000000000005
Weekend,6,4401.409090909091,3381,5599.2
Weekend,7,7038.236363636363,5354.2,8861.9
Weekend,8,9703.3,7747.7,12011.8
Weekend,9,12255.2,10007.7,14457.2
Weekend,10,13958.772727272728,11453.5,16043.8
Weekend,11,15588.127272727274,13041,18301.9
Weekend,12,17137.672727272726,14024.6,19817.8
Weekend,13,17897.045454545456,14937.6,20862.199999999997
Weekend,14,17675.863636363636,14681.199999999999,20721.9
Weekend,15,17194.663636363635,13953.6,20793.4
Weekend,16,16623.02727272727,13347,20173.7
Weekend,17,16199.209090909091,12692.6,20193.6
Weekend,18,15178.309090909092,11372.1,19740.100000000002
Weekend,19,12658.100917431193,8759.2,16895.2
Weekend,20,9877,6831.2,13213.699999999999
Weekend,21,8177.481818181818,5895.799999999999,10911.8
Weekend,22,7329.981818181818,4810.700000000001,10589.6
Weekend,23,5187.581818181819,2794.8999999999996,8167.200000000002
