day_type,route_short_name,hour_service,trips
Weekday,J,0,3
Weekday,J,1,6
Weekday,J,2,6
Weekday,J,3,6
Weekday,J,4,6
Weekday,J,5,7
Weekday,J,6,13
Weekday,J,7,13
Weekday,J,8,19
Weekday,J,9,15
Weekday,J,10,15
Weekday,J,11,15
Weekday,J,12,15
Weekday,J,13,15
Weekday,J,14,15
Weekday,J,15,16
Weekday,J,16,17
Weekday,J,17,13
Weekday,J,18,13
Weekday,J,19,12
Weekday,J,20,12
Weekday,J,21,11
Weekday,J,22,10
Weekday,J,23,8
Weekday,J,24,4
Weekday,L,0,5
Weekday,L,1,7
Weekday,L,2,6
Weekday,L,3,6
Weekday,L,4,7
Weekday,L,5,13
Weekday,L,6,22
Weekday,L,7,29
Weekday,L,8,40
Weekday,L,9,37
Weekday,L,10,32
Weekday,L,11,29
Weekday,L,12,24
Weekday,L,13,24
Weekday,L,14,24
Weekday,L,15,25
Weekday,L,16,31
Weekday,L,17,34
Weekday,L,18,33
Weekday,L,19,30
Weekday,L,20,30
Weekday,L,21,28
Weekday,L,22,20
Weekday,L,23,13
Weekday,L,24,5
Weekday,N,0,3
Weekday,N,1,4
Weekday,N,2,6
Weekday,N,3,6
Weekday,N,4,6
Weekday,N,5,9
Weekday,N,6,13
Weekday,N,7,16
Weekday,N,8,16
Weekday,N,9,15
Weekday,N,10,14
Weekday,N,11,15
Weekday,N,12,15
Weekday,N,13,14
Weekday,N,14,16
Weekday,N,15,16
Weekday,N,16,17
Weekday,N,17,16
Weekday,N,18,13
Weekday,N,19,12
Weekday,N,20,10
Weekday,N,21,9
Weekday,N,22,11
Weekday,N,23,8
Weekday,N,24,3
Weekday,N,25,2
Weekday,Q,0,3
Weekday,Q,1,4
Weekday,Q,2,6
Weekday,Q,3,6
Weekday,Q,4,7
Weekday,Q,5,9
Weekday,Q,6,15
Weekday,Q,7,16
Weekday,Q,8,19
Weekday,Q,9,15
Weekday,Q,10,15
Weekday,Q,11,15
Weekday,Q,12,15
Weekday,Q,13,15
Weekday,Q,14,15
Weekday,Q,15,15
Weekday,Q,16,16
Weekday,Q,17,18
Weekday,Q,18,19
Weekday,Q,19,18
Weekday,Q,20,15
Weekday,Q,21,14
Weekday,Q,22,10
Weekday,Q,23,10
Weekday,Q,24,3
Weekday,Q,25,2
Weekday,R,0,3
Weekday,R,1,6
Weekday,R,2,6
Weekday,R,3,6
Weekday,R,4,6
Weekday,R,5,14
Weekday,R,6,16
Weekday,R,7,18
Weekday,R,8,17
Weekday,R,9,15
Weekday,R,10,15
Weekday,R,11,15
Weekday,R,12,15
Weekday,R,13,15
Weekday,R,14,15
Weekday,R,15,17
Weekday,R,16,18
Weekday,R,17,17
Weekday,R,18,15
Weekday,R,19,14
Weekday,R,20,13
Weekday,R,21,10
Weekday,R,22,9
Weekday,R,23,5
Weekday,R,24,3
Weekday,S,0,6
Weekday,S,1,6
Weekday,S,2,6
Weekday,S,3,6
Weekday,S,4,6
Weekday,S,5,6
Weekday,S,6,10
Weekday,S,7,12
Weekday,S,8,12
Weekday,S,9,12
Weekday,S,10,12
Weekday,S,11,12
Weekday,S,12,12
Weekday,S,13,12
Weekday,S,14,12
Weekday,S,15,12
Weekday,S,16,12
Weekday,S,17,12
Weekday,S,18,12
Weekday,S,19,12
Weekday,S,20,12
Weekday,S,21,10
Weekday,S,22,8
Weekday,S,23,6
Weekday,W,6,4
Weekday,W,7,12
Weekday,W,8,13
Weekday,W,9,14
Weekday,W,10,11
Weekday,W,11,12
Weekday,W,12,12
Weekday,W,13,12
Weekday,W,14,12
Weekday,W,15,12
Weekday,W,16,14
Weekday,W,17,12
Weekday,W,18,12
Weekday,W,19,13
Weekday,W,20,12
Weekday,W,21,8
Weekday,W,22,2
Weekday,Z,7,4
Weekday,Z,8,2
Weekday,Z,16,1
Weekday,Z,17,5
