day_type,route_short_name,hour_service,trips
Weekend,J,0,6
Weekend,J,1,12
Weekend,J,2,12
Weekend,J,3,12
Weekend,J,4,12
Weekend,J,5,14
Weekend,J,6,16
Weekend,J,7,19
Weekend,J,8,21
Weekend,J,9,22
Weekend,J,10,26
Weekend,J,11,27
Weekend,J,12,27
Weekend,J,13,27
Weekend,J,14,27
Weekend,J,15,29
Weekend,J,16,30
Weekend,J,17,28
Weekend,J,18,25
Weekend,J,19,23
Weekend,J,20,19
Weekend,J,21,18
Weekend,J,22,16
Weekend,J,23,16
Weekend,J,24,8
Weekend,L,0,10
Weekend,L,1,14
Weekend,L,2,12
Weekend,L,3,12
Weekend,L,4,13
Weekend,L,5,14
Weekend,L,6,20
Weekend,L,7,28
Weekend,L,8,36
Weekend,L,9,44
Weekend,L,10,46
Weekend,L,11,56
Weekend,L,12,59
Weekend,L,13,60
Weekend,L,14,60
Weekend,L,15,60
Weekend,L,16,60
Weekend,L,17,60
Weekend,L,18,56
Weekend,L,19,54
Weekend,L,20,52
Weekend,L,21,45
Weekend,L,22,35
Weekend,L,23,28
Weekend,L,24,10
Weekend,N,0,6
Weekend,N,1,8
Weekend,N,2,12
Weekend,N,3,12
Weekend,N,4,12
Weekend,N,5,16
Weekend,N,6,16
Weekend,N,7,20
Weekend,N,8,20
Weekend,N,9,20
Weekend,N,10,20
Weekend,N,11,20
Weekend,N,12,20
Weekend,N,13,20
Weekend,N,14,20
Weekend,N,15,20
Weekend,N,16,20
Weekend,N,17,20
Weekend,N,18,21
Weekend,N,19,19
Weekend,N,20,20
Weekend,N,21,21
Weekend,N,22,25
Weekend,N,23,14
Weekend,N,24,6
Weekend,N,25,4
Weekend,Q,0,6
Weekend,Q,1,8
Weekend,Q,2,12
Weekend,Q,3,12
Weekend,Q,4,12
Weekend,Q,5,15
Weekend,Q,6,19
Weekend,Q,7,23
Weekend,Q,8,23
Weekend,Q,9,24
Weekend,Q,10,26
Weekend,Q,11,30
Weekend,Q,12,30
Weekend,Q,13,30
Weekend,Q,14,30
Weekend,Q,15,30
Weekend,Q,16,30
Weekend,Q,17,30
Weekend,Q,18,31
Weekend,Q,19,27
Weekend,Q,20,25
Weekend,Q,21,22
Weekend,Q,22,21
Weekend,Q,23,18
Weekend,Q,24,6
Weekend,Q,25,4
Weekend,R,0,6
Weekend,R,1,12
Weekend,R,2,12
Weekend,R,3,12
Weekend,R,4,12
Weekend,R,5,22
Weekend,R,6,20
Weekend,R,7,20
Weekend,R,8,20
Weekend,R,9,20
Weekend,R,10,20
Weekend,R,11,20
Weekend,R,12,20
Weekend,R,13,20
Weekend,R,14,20
Weekend,R,15,20
Weekend,R,16,20
Weekend,R,17,20
Weekend,R,18,20
Weekend,R,19,20
Weekend,R,20,20
Weekend,R,21,20
Weekend,R,22,20
Weekend,R,23,10
Weekend,R,24,6
Weekend,S,0,12
Weekend,S,1,12
Weekend,S,2,12
Weekend,S,3,12
Weekend,S,4,12
Weekend,S,5,12
Weekend,S,6,20
Weekend,S,7,24
Weekend,S,8,24
Weekend,S,9,24
Weekend,S,10,24
Weekend,S,11,24
Weekend,S,12,24
Weekend,S,13,24
Weekend,S,14,24
Weekend,S,15,24
Weekend,S,16,24
Weekend,S,17,24
Weekend,S,18,24
Weekend,S,19,24
Weekend,S,20,24
Weekend,S,21,20
Weekend,S,22,16
Weekend,S,23,12
