day_type,hour,avg_riders,p10,p90
Weekday,0,25893.812274368232,19577.2,32907.4
Weekday,1,10548.458483754514,7722.8,13501.4
Weekday,2,6612.602888086642,5173,8024.800000000001
Weekday,3,7526.444043321299,6499,8260.6
Weekday,4,19603.148014440434,18185.6,21135.2
Weekday,5,66798.75812274369,63293.600000000006,72373.6
Weekday,6,149006.81227436822,132252.80000000002,168587.8
Weekday,7,291247.46931407944,216393,351180.2
Weekday,8,366677.40794223826,266376,445013.19999999995
Weekday,9,238305.61371841157,191175.8,277984.4
Weekday,10,164924.2274368231,147802.4,181987
Weekday,11,155396.35018050543,138865.40000000002,169635
Weekday,12,166616.46209386282,148563,182913.8
Weekday,13,187483.65342960288,167404,206874
Weekday,14,229009.86281588447,199623.6,257011
Weekday,15,286137.6534296029,248288.59999999998,320227.6
Weekday,16,330617.03249097476,299899.19999999995,367849.80000000005
Weekday,17,397924.0902527076,324433.6,458988
Weekday,18,297600.41155234654,253605.4,339524.80000000005
Weekday,19,192576.09386281588,167337.2,217306.40000000002
Weekday,20,142944.3140794224,119852.6,163463
Weekday,21,119327.75812274369,96485.4,140050.2
Weekday,22,95097.57039711191,70907.6,118860.4
Weekday,23,57602.07220216606,41596,80795.8
Weekend,0,46743.80909090909,38459.600000000006,54008.700000000004
Weekend,1,23436.772727272728,18117.3,27243.100000000002
Weekend,2,13490.963302752294,10498.8,15728
Weekend,3,9768.936363636363,8027.1,10751.8
Weekend,4,12292.327272727272,10617.699999999999,13771.700000000003
Weekend,5,22156.354545454546,17863.6,26517.5
Weekend,6,42437.37272727273,33497.3,52209.700000000004
Weekend,7,63394.990909090906,49243.2,79927.09999999999
Weekend,8,84091.54545454546,66206.6,105577
Weekend,9,105604.67272727273,85736,124835.50000000003
Weekend,10,124870.78181818181,104615,145548.6
Weekend,11,142616.66363636364,119186.6,166532.09999999998
Weekend,12,161057.6090909091,134349.3,188918.9
Weekend,13,174463.20909090908,147729.80000000002,204573.30000000002
Weekend,14,183176.05454545454,154846.4,215686.50000000003
Weekend,15,190331.18181818182,157541.9,225878.5
Weekend,16,193576.22727272726,158699.9,231093.4
Weekend,17,186475.5909090909,153762.4,222883.3
Weekend,18,168143.84545454546,132866.8,208192.90000000002
Weekend,19,139166.9724770642,98761.4,172970.60000000003
Weekend,20,110528.33636363636,79615.2,137541
Weekend,21,95515.9909090909,69108.7,120960.00000000001
Weekend,22,85307.44545454545,59262,116051.70000000001
Weekend,23,58729.5,36295.200000000004,84630.70000000001
