"month","division","line","day_type","num_on_time_trips","num_sched_trips","terminal_on_time_performance"
"2025-01-01","A DIVISION","1","1","8,510","10,164","83.72687918142%"
"2025-01-01","A DIVISION","1","2","2,335","2,847","82.01615735862%"
"2025-01-01","A DIVISION","2","1","5,065","7,100","71.33802816901%"
"2025-01-01","A DIVISION","2","2","1,358","2,140","63.45794392523%"
"2025-01-01","A DIVISION","3","1","5,396","6,562","82.23102712588%"
"2025-01-01","A DIVISION","3","2","1,426","1,983","71.91124558749%"
"2025-01-01","A DIVISION","4","1","6,521","8,142","80.09088676001%"
"2025-01-01","A DIVISION","4","2","2,284","2,736","83.47953216374%"
"2025-01-01","A DIVISION","5","1","5,416","7,140","75.85434173669%"
"2025-01-01","A DIVISION","5","2","2,093","2,273","92.08095028597%"
"2025-01-01","A DIVISION","6","1","10,367","12,254","84.60094662967%"
"2025-01-01","A DIVISION","6","2","2,419","2,784","86.88936781609%"
"2025-01-01","A DIVISION","7","1","13,193","14,121","93.42822746264%"
"2025-01-01","A DIVISION","7","2","2,528","2,816","89.77272727273%"
"2025-01-01","A DIVISION","S 42nd","1","11,874","11,876","99.9831593129%"
"2025-01-01","A DIVISION","S 42nd","2","3,558","3,568","99.7197309417%"
"2025-01-01","B DIVISION","A","1","6,840","8,515","80.32883147387%"
"2025-01-01","B DIVISION","A","2","2,765","3,372","81.99881376038%"
"2025-01-01","B DIVISION","B","1","2,897","4,734","61.19560625264%"
"2025-01-01","B DIVISION","C","1","3,488","4,884","71.41687141687%"
"2025-01-01","B DIVISION","C","2","641","774","82.8165374677%"
"2025-01-01","B DIVISION","D","1","5,227","6,778","77.11714370021%"
"2025-01-01","B DIVISION","D","2","2,589","2,819","91.84107839659%"
"2025-01-01","B DIVISION","E","1","7,186","9,020","79.66740576497%"
"2025-01-01","B DIVISION","E","2","2,149","2,464","87.21590909091%"
"2025-01-01","B DIVISION","F","1","5,924","8,624","68.69202226345%"
"2025-01-01","B DIVISION","F","2","1,486","1,874","79.29562433298%"
"2025-01-01","B DIVISION","G","1","4,827","6,796","71.02707474985%"
"2025-01-01","B DIVISION","G","2","1,576","2,315","68.0777537797%"
"2025-01-01","B DIVISION","JZ","1","5,842","6,543","89.28626012532%"
"2025-01-01","B DIVISION","JZ","2","2,016","2,200","91.63636363636%"
"2025-01-01","B DIVISION","L","1","10,960","12,004","91.30289903366%"
"2025-01-01","B DIVISION","L","2","3,582","3,882","92.27202472952%"
"2025-01-01","B DIVISION","M","1","5,813","6,422","90.51697290564%"
"2025-01-01","B DIVISION","M","2","2,175","2,244","96.92513368984%"
"2025-01-01","B DIVISION","N","1","7,952","10,384","76.57935285054%"
"2025-01-01","B DIVISION","N","2","1,642","2,074","79.17068466731%"
"2025-01-01","B DIVISION","Q","1","5,734","7,253","79.05694195505%"
"2025-01-01","B DIVISION","Q","2","3,043","3,358","90.61941631924%"
"2025-01-01","B DIVISION","R","1","4,773","6,596","72.36203759854%"
"2025-01-01","B DIVISION","R","2","1,557","1,780","87.47191011236%"
"2025-01-01","B DIVISION","S Fkln","1","5,130","5,180","99.03474903475%"
"2025-01-01","B DIVISION","S Fkln","2","2,136","2,142","99.71988795518%"
"2025-01-01","B DIVISION","S Rock","1","3,602","3,713","97.01050363587%"
"2025-01-01","B DIVISION","S Rock","2","1,100","1,117","98.47806624888%"
"2025-02-01","A DIVISION","1","1","7,077","8,754","80.84304318026%"
"2025-02-01","A DIVISION","1","2","2,261","2,646","85.44973544974%"
"2025-02-01","A DIVISION","2","1","4,396","6,118","71.85354691076%"
"2025-02-01","A DIVISION","2","2","1,336","1,904","70.16806722689%"
"2025-02-01","A DIVISION","3","1","4,446","5,551","80.09367681499%"
"2025-02-01","A DIVISION","3","2","1,243","1,880","66.1170212766%"
"2025-02-01","A DIVISION","4","1","5,751","7,033","81.7716479454%"
"2025-02-01","A DIVISION","4","2","1,789","2,418","73.98676592225%"
"2025-02-01","A DIVISION","5","1","4,986","6,145","81.13913751017%"
"2025-02-01","A DIVISION","5","2","1,496","1,769","84.56755228943%"
"2025-02-01","A DIVISION","6","1","8,877","10,598","83.76108699755%"
"2025-02-01","A DIVISION","6","2","2,291","2,736","83.73538011696%"
"2025-02-01","A DIVISION","7","1","11,042","12,189","90.58987611781%"
"2025-02-01","A DIVISION","7","2","2,824","2,954","95.59918754232%"
"2025-02-01","A DIVISION","S 42nd","1","10,125","10,142","99.83238020114%"
"2025-02-01","A DIVISION","S 42nd","2","3,419","3,452","99.04403244496%"
"2025-02-01","B DIVISION","A","1","5,933","7,125","83.2701754386%"
"2025-02-01","B DIVISION","A","2","2,182","2,530","86.24505928854%"
"2025-02-01","B DIVISION","B","1","2,697","4,056","66.49408284024%"
"2025-02-01","B DIVISION","C","1","3,122","4,218","74.01612138454%"
