month,day_type,line,otp,sched_trips
2025-01-01,Weekday,JZ,0.8928626012532478,6543
2025-01-01,Weekday,L,0.9130289903365545,12004
2025-01-01,Weekday,N,0.765793528505393,10384
2025-01-01,Weekday,Q,0.7905694195505308,7253
2025-01-01,Weekday,R,0.7236203759854457,6596
2025-01-01,Weekday,S Fkln,0.9903474903474904,5180
2025-01-01,Weekend,JZ,0.9163636363636364,2200
2025-01-01,Weekend,L,0.9227202472952086,3882
2025-01-01,Weekend,N,0.7917068466730954,2074
2025-01-01,Weekend,Q,0.9061941631923764,3358
2025-01-01,Weekend,R,0.8747191011235955,1780
2025-01-01,Weekend,S Fkln,0.9971988795518207,2142
2025-02-01,Weekday,JZ,0.88769203602330915,5663
2025-02-01,Weekday,L,0.8933050356936137,10366
2025-02-01,Weekday,N,0.7903117290872393,8918
2025-02-01,Weekday,Q,0.8016940707523668,6021
2025-02-01,Weekday,R,0.70637315817504,5633
2025-02-01,Weekday,S Fkln,0.9962406015037594,4522
2025-02-01,Weekend,JZ,0.9713114754098361,2196
2025-02-01,Weekend,L,0.9480651731160896,3928
2025-02-01,Weekend,N,0.6948924731182796,2232
2025-02-01,Weekend,Q,0.9120879120879121,2912
2025-02-01,Weekend,R,0.8492798353909465,1944
2025-02-01,Weekend,S Fkln,0.9976657329598506,2142
2025-03-01,Weekday,JZ,0.88656334877776,6259
2025-03-01,Weekday,L,0.93026706231454,11458
2025-03-01,Weekday,N,0.8130895091434072,10390
2025-03-01,Weekday,Q,0.8224171834820754,6611
2025-03-01,Weekday,R,0.8106242978655112,6231
2025-03-01,Weekday,S Fkln,0.9953981592637055,4998
2025-03-01,Weekend,JZ,0.8960396039603961,2424
2025-03-01,Weekend,L,0.9662706830717013,4714
2025-03-01,Weekend,N,0.8012668250197942,2526
2025-03-01,Weekend,Q,0.9021488871834229,2606
2025-03-01,Weekend,R,0.9085422469823584,2154
2025-03-01,Weekend,S Fkln,0.9951154529307282,2252
2025-04-01,Weekday,JZ,0.9475535168195719,6540
2025-04-01,Weekday,L,0.8752913752913752,12012
2025-04-01,Weekday,N,0.8001782354688584,10099
2025-04-01,Weekday,Q,0.8255325315171714,6901
2025-04-01,Weekday,R,0.8186654506763946,6579
2025-04-01,Weekday,S Fkln,0.9973241590214067,5232
2025-04-01,Weekend,JZ,0.9102150537634408,1860
2025-04-01,Weekend,L,0.9114785992217899,3084
2025-04-01,Weekend,N,0.7447916666666666,1728
2025-04-01,Weekend,Q,0.9472868217054263,2580
2025-04-01,Weekend,R,0.9016203703703703,1728
2025-04-01,Weekend,S Fkln,1,1904
2025-05-01,Weekday,JZ,0.9171075837742504,6237
2025-05-01,Weekday,L,0.887224517906336,11616
2025-05-01,Weekday,N,0.8025648672830301,10059
2025-05-01,Weekday,Q,0.8247946228528753,6695
2025-05-01,Weekday,R,0.825177025963808,6355
2025-05-01,Weekday,S Fkln,0.994797919167667,4998
2025-05-01,Weekend,JZ,0.9137168141592921,2260
2025-05-01,Weekend,L,0.9582627118644068,4720
2025-05-01,Weekend,N,0.8112684729064039,3248
2025-05-01,Weekend,Q,0.7360153256704981,2610
2025-05-01,Weekend,R,0.8671296296296296,2160
2025-05-01,Weekend,S Fkln,1,2380
2025-06-01,Weekday,JZ,0.8845968905273282,6239
2025-06-01,Weekday,L,0.8652056185479776,11818
2025-06-01,Weekday,N,0.7675921251892983,9905
2025-06-01,Weekday,Q,0.8031746031746032,6615
2025-06-01,Weekday,R,0.8209895997478727,6346
2025-06-01,Weekday,S Fkln,0.9909963985594238,4998
2025-06-01,Weekend,JZ,0.9274809160305344,2096
2025-06-01,Weekend,L,0.9497685185185185,4320
2025-06-01,Weekend,N,0.6968605249613999,1943
2025-06-01,Weekend,Q,0.8086040386303776,2278
2025-06-01,Weekend,R,0.9243048403707518,1942
2025-06-01,Weekend,S Fkln,0.9906629318394025,2142
2025-07-01,Weekday,JZ,0.9141282718506046,6533
2025-07-01,Weekday,L,0.8982254274369986,12341
2025-07-01,Weekday,N,0.7401378782075833,10444
2025-07-01,Weekday,Q,0.7748917748917749,6930
2025-07-01,Weekday,R,0.7368341632714652,6627
