trip_id,trip_id_norm
4200301G,4200301G
4200401G,4200401G
4200403G,4200403G
4200405G,4200405G
4200461G,4200461G
4200501G,4200501G
4200503G,4200503G
4200505G,4200505G
4200507G,4200507G
4200509G,4200509G
4200511G,4200511G
4200513G,4200513G
4200561G,4200561G
4200601G,4200601G
4200603G,4200603G
4200605G,4200605G
4200607G,4200607G
4200609G,4200609G
4200611G,4200611G
4200615G,4200615G
4200617G,4200617G
4200619G,4200619G
4200621G,4200621G
4200623G,4200623G
4200625G,4200625G
4200661G,4200661G
4200703G,4200703G
4200705G,4200705G
4200707G,4200707G
4200709G,4200709G
4200713G,4200713G
4200715G,4200715G
4200717G,4200717G
4200719G,4200719G
4200721G,4200721G
4200723G,4200723G
4200725G,4200725G
4200727G,4200727G
4200729G,4200729G
4200731G,4200731G
4200733G,4200733G
4200761G,4200761G
4200801G,4200801G
4200803G,4200803G
4200805G,4200805G
4200807G,4200807G
4200811G,4200811G
4200813G,4200813G
4200815G,4200815G
4200817G,4200817G
4200819G,4200819G
4200821G,4200821G
4200823G,4200823G
4200827G,4200827G
4200829G,4200829G
4200831G,4200831G
4200833G,4200833G
4200861G,4200861G
4200901G,4200901G
4200905G,4200905G
4200907G,4200907G
4200909G,4200909G
4200911G,4200911G
4200913G,4200913G
4200915G,4200915G
4200917G,4200917G
4200919G,4200919G
4200925G,4200925G
4200929G,4200929G
4200931G,4200931G
4201001G,4201001G
4201003G,4201003G
4201005G,4201005G
4201011G,4201011G
4201013G,4201013G
4201015G,4201015G
4201017G,4201017G
4201019G,4201019G
4201023G,4201023G
4201029G,4201029G
4201031G,4201031G
4201033G,4201033G
4201101G,4201101G
4201103G,4201103G
4201107G,4201107G
4201111G,4201111G
4201113G,4201113G
4201115G,4201115G
4201117G,4201117G
4201119G,4201119G
4201123G,4201123G
4201129G,4201129G
4201131G,4201131G
4201133G,4201133G
4201201G,4201201G
4201203G,4201203G
4201205G,4201205G
4201207G,4201207G
4201211G,4201211G
4201213G,4201213G
4201215G,4201215G
4201217G,4201217G
4201219G,4201219G
4201223G,4201223G
4201229G,4201229G
4201233G,4201233G
4201301G,4201301G
4201303G,4201303G
4201305G,4201305G
4201307G,4201307G
4201311G,4201311G
4201313G,4201313G
4201315G,4201315G
4201317G,4201317G
4201323G,4201323G
4201329G,4201329G
4201331G,4201331G
4201333G,4201333G
4201401G,4201401G
4201403G,4201403G
4201405G,4201405G
4201407G,4201407G
4201411G,4201411G
4201413G,4201413G
4201415G,4201415G
4201417G,4201417G
4201419G,4201419G
4201423G,4201423G
4201431G,4201431G
4201433G,4201433G
4201501G,4201501G
4201503G,4201503G
4201505G,4201505G
4201507G,4201507G
4201511G,4201511G
4201513G,4201513G
4201515G,4201515G
4201519G,4201519G
4201523G,4201523G
4201529G,4201529G
4201531G,4201531G
4201533G,4201533G
4201535G,4201535G
4201601G,4201601G
4201603G,4201603G
4201605G,4201605G
4201607G,4201607G
4201611G,4201611G
4201613G,4201613G
4201617G,4201617G
4201619G,4201619G
4201623G,4201623G
4201629G,4201629G
4201631G,4201631G
4201633G,4201633G
4201637G,4201637G
4201639G,4201639G
4201663G,4201663G
4201701G,4201701G
4201703G,4201703G
4201705G,4201705G
4201707G,4201707G
4201711G,4201711G
4201715G,4201715G
4201717G,4201717G
4201719G,4201719G
4201723G,4201723G
4201729G,4201729G
4201731G,4201731G
4201733G,4201733G
4201735G,4201735G
4201737G,4201737G
4201741G,4201741G
4201743G,4201743G
4201745G,4201745G
4201763G,4201763G
4201803G,4201803G
4201805G,4201805G
4201807G,4201807G
4201813G,4201813G
4201815G,4201815G
4201817G,4201817G
4201819G,4201819G
4201823G,4201823G
4201829G,4201829G
4201831G,4201831G
4201833G,4201833G
4201835G,4201835G
4201837G,4201837G
4201839G,4201839G
4201841G,4201841G
4201843G,4201843G
4201845G,4201845G
4201847G,4201847G
4201863G,4201863G
4201901G,4201901G
4201905G,4201905G
4201907G,4201907G
4201911G,4201911G
4201913G,4201913G
