date,revenue_commuter,revenue_noncommuter_short,revenue_noncommuter_midlong,revenue_noncommuter_subtotal,revenue_total,shinkansen_tohoku,shinkansen_joetsu,shinkansen_hokuriku,shinkansen_total,commuter_pass_weekday_tokyo,file,issue_year,fy
2023-04-01,4,114.6,121,155.2,139.3,129.7,186,139,144,163,jreast_monthly_2023fy.pdf,2024,2024
2023-05-01,5,104.1,115.8,142.9,129.2,122.5,143,130,130,137,jreast_monthly_2023fy.pdf,2024,2024
2023-06-01,6,102.5,112.5,128.1,120.8,116.4,132,122,120,128,jreast_monthly_2023fy.pdf,2024,2024
2023-07-01,7,108.3,121.5,148.1,136.8,129.4,133,132,137,132,jreast_monthly_2023fy.pdf,2024,2024
2023-08-01,8,108.5,125.1,148.8,137.9,131.4,148,141,142,145,jreast_monthly_2023fy.pdf,2024,2024
2023-09-01,9,106.8,115.8,130.7,124.2,118.6,128,131,132,129,jreast_monthly_2023fy.pdf,2024,2024
2023-10-01,10,110.2,112.7,123.1,118.8,116,114,117,121,115,jreast_monthly_2023fy.pdf,2024,2024
2023-11-01,11,106.6,114.2,123,119.3,116.3,121,119,121,120,jreast_monthly_2023fy.pdf,2024,2024
2023-12-01,12,104.8,114.3,117.2,116,113.8,120,116,116,118,jreast_monthly_2023fy.pdf,2024,2024
2024-01-01,1,107.8,112,113.1,112.6,111.3,117,107,107,113,jreast_monthly_2023fy.pdf,2024,2024
2024-02-01,2,108.1,113.9,118.5,116.5,114.8,130,117,119,124,jreast_monthly_2023fy.pdf,2024,2024
2024-03-01,3,108.5,107.1,107.4,107.3,107.5,113,109,111,111,jreast_monthly_2023fy.pdf,2024,2024
2024-04-01,4,100.2,107.9,105.5,106.5,104.3,108,114,119,111,jreast_monthly_2024fy.pdf,2025,2025
2024-05-01,5,101.9,105.4,106.2,105.9,104.9,104,108,110,106,jreast_monthly_2024fy.pdf,2025,2025
2024-06-01,6,105.8,107.3,104.5,105.7,105.7,109,111,117,109,jreast_monthly_2024fy.pdf,2025,2025
2024-07-01,7,101.3,104.9,105,105,104.1,103,109,112,105,jreast_monthly_2024fy.pdf,2025,2025
2024-08-01,8,101.2,104.3,98.7,101,101.1,102,109,114,105,jreast_monthly_2024fy.pdf,2025,2025
2024-09-01,9,106.7,106.7,103.8,105,105.5,106,110,115,108,jreast_monthly_2024fy.pdf,2025,2025
2024-10-01,10,99.9,105.4,103.6,104.3,103,111,113,116,111,jreast_monthly_2024fy.pdf,2025,2025
2024-11-01,11,100.3,106,101.8,103.5,102.9,109,112,114,110,jreast_monthly_2024fy.pdf,2025,2025
2024-12-01,12,100.3,105.6,103.1,104.2,103.5,101,109,110,104,jreast_monthly_2024fy.pdf,2025,2025
2025-01-01,1,103.7,105.8,110,108.1,107,109,121,126,114,jreast_monthly_2024fy.pdf,2025,2025
2025-02-01,2,100.9,102.5,98.6,100.3,100.4,102,109,113,105,jreast_monthly_2024fy.pdf,2025,2025
2025-03-01,3,106.1,104.1,98,100.6,102.1,100,108,110,103,jreast_monthly_2024fy.pdf,2025,2025
2025-04-01,4,100.1,103.1,105.5,104.2,102.9,103,102,102,103,jreast_monthly_2025fy.pdf,2026,2026
2025-05-01,5,101.2,104.3,107.3,105.6,104.7,107,108,108,108,jreast_monthly_2025fy.pdf,2026,2026
2025-06-01,6,100.3,106.8,104.6,105.8,104.7,103,108,105,105,jreast_monthly_2025fy.pdf,2026,2026
2025-07-01,7,103.4,104.7,105.2,105,104.7,107,108,106,107,jreast_monthly_2025fy.pdf,2026,2026
2025-08-01,8,104.6,108.7,107.6,108.2,107.6,106,104,103,105,jreast_monthly_2025fy.pdf,2026,2026
2025-09-01,9,102.5,105.2,103.9,104.6,104,105,104,102,105,jreast_monthly_2025fy.pdf,2026,2026
2025-10-01,10,100.5,104,105,104.5,103.4,102,103,102,102,jreast_monthly_2025fy.pdf,2026,2026
2025-11-01,11,102.9,105.8,105,105.4,104.9,102,104,106,103,jreast_monthly_2025fy.pdf,2026,2026
2025-12-01,12,101.9,104.6,103.3,103.9,103.6,104,107,108,105,jreast_monthly_2025fy.pdf,2026,2026
2026-01-01,1,102.7,105.2,107.9,106.5,105.6,103,106,106,104,jreast_monthly_2025fy.pdf,2026,2026
