category,region,ticket_type,fy,passenger_km_millions
新幹線,NA,定期,2023,1563
新幹線,NA,定期,2024,1670
新幹線,NA,定期,2025,1758
新幹線,NA,定期外,2023,14931
新幹線,NA,定期外,2024,19560
新幹線,NA,定期外,2025,20920
新幹線,NA,計,2023,16494
新幹線,NA,計,2024,21230
新幹線,NA,計,2025,22679
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2023,54766
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2024,57474
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2025,58757
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2023,31590
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2024,35912
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2025,37532
在来線,関東圏 （東京圏(FY2004.3まで)）,計,2023,86356
在来線,関東圏 （東京圏(FY2004.3まで)）,計,2024,93387
在来線,関東圏 （東京圏(FY2004.3まで)）,計,2025,96290
在来線,その他,定期,2023,2697
在来線,その他,定期,2024,2763
在来線,その他,定期,2025,2768
在来線,その他,定期外,2023,1929
在来線,その他,定期外,2024,2319
在来線,その他,定期外,2025,2570
在来線,その他,計,2023,4626
在来線,その他,計,2024,5083
在来線,その他,計,2025,5338
在来線,計,定期,2023,57464
在来線,計,定期,2024,60237
在来線,計,定期,2025,61525
在来線,計,定期外,2023,33519
在来線,計,定期外,2024,38232
在来線,計,定期外,2025,40103
在来線,計,計,2023,90983
在来線,計,計,2024,98470
在来線,計,計,2025,101628
合計,計,定期,2023,59027
合計,計,定期,2024,61908
合計,計,定期,2025,63284
合計,計,定期外,2023,48450
合計,計,定期外,2024,57792
合計,計,定期外,2025,61024
合計,計,計,2023,107477
合計,計,計,2024,119701
合計,計,計,2025,124308
