category,region,ticket_type,fy,passenger_km_millions
新幹線,NA,定期,1988,115
新幹線,NA,定期,1989,177
新幹線,NA,定期,1990,241
新幹線,NA,定期,1991,376
新幹線,NA,定期,1992,600
新幹線,NA,定期,1993,782
新幹線,NA,定期,1994,889
新幹線,NA,定期,1995,980
新幹線,NA,定期,1996,1078
新幹線,NA,定期,1997,1183
新幹線,NA,定期,1998,1217
新幹線,NA,定期,1999,1342
新幹線,NA,定期,2000,1415
新幹線,NA,定期,2001,1478
新幹線,NA,定期,2002,1550
新幹線,NA,定期,2003,1543
新幹線,NA,定期,2004,1567
新幹線,NA,定期,2005,1609
新幹線,NA,定期,2006,1627
新幹線,NA,定期,2007,1656
新幹線,NA,定期,2008,1670
新幹線,NA,定期,2009,1678
新幹線,NA,定期,2010,1665
新幹線,NA,定期,2011,1659
新幹線,NA,定期,2012,1647
新幹線,NA,定期,2013,1670
新幹線,NA,定期,2014,1731
新幹線,NA,定期,2015,1675
新幹線,NA,定期,2016,1740
新幹線,NA,定期,2017,1754
新幹線,NA,定期,2018,1781
新幹線,NA,定期,2019,1813
新幹線,NA,定期,2020,1909
新幹線,NA,定期,2021,1531
新幹線,NA,定期,2022,1473
新幹線,NA,定期,2023,1563
新幹線,NA,定期,2024,1670
新幹線,NA,定期,2025,1758
新幹線,NA,定期外,1988,12022
新幹線,NA,定期外,1989,13081
新幹線,NA,定期外,1990,13316
新幹線,NA,定期外,1991,14390
新幹線,NA,定期外,1992,15501
新幹線,NA,定期外,1993,15461
新幹線,NA,定期外,1994,15144
新幹線,NA,定期外,1995,15049
新幹線,NA,定期外,1996,15172
新幹線,NA,定期外,1997,15335
新幹線,NA,定期外,1998,15930
新幹線,NA,定期外,1999,16112
新幹線,NA,定期外,2000,16117
新幹線,NA,定期外,2001,16200
新幹線,NA,定期外,2002,16190
新幹線,NA,定期外,2003,16732
新幹線,NA,定期外,2004,17179
新幹線,NA,定期外,2005,16781
新幹線,NA,定期外,2006,17246
新幹線,NA,定期外,2007,17718
新幹線,NA,定期外,2008,18253
新幹線,NA,定期外,2009,17623
新幹線,NA,定期外,2010,16486
新幹線,NA,定期外,2011,15991
新幹線,NA,定期外,2012,16776
新幹線,NA,定期外,2013,18448
新幹線,NA,定期外,2014,19131
新幹線,NA,定期外,2015,19238
新幹線,NA,定期外,2016,21108
新幹線,NA,定期外,2017,21422
新幹線,NA,定期外,2018,21590
新幹線,NA,定期外,2019,21929
新幹線,NA,定期外,2020,20615
新幹線,NA,定期外,2021,6419
新幹線,NA,定期外,2022,8910
新幹線,NA,定期外,2023,14931
新幹線,NA,定期外,2024,19560
新幹線,NA,定期外,2025,20920
新幹線,NA,計,1988,12137
新幹線,NA,計,1989,13259
新幹線,NA,計,1990,13558
新幹線,NA,計,1991,14767
新幹線,NA,計,1992,16101
新幹線,NA,計,1993,16244
新幹線,NA,計,1994,16034
新幹線,NA,計,1995,16030
新幹線,NA,計,1996,16250
新幹線,NA,計,1997,16518
新幹線,NA,計,1998,17147
新幹線,NA,計,1999,17455
新幹線,NA,計,2000,17533
新幹線,NA,計,2001,17678
新幹線,NA,計,2002,17741
新幹線,NA,計,2003,18276
新幹線,NA,計,2004,18747
新幹線,NA,計,2005,18391
新幹線,NA,計,2006,18874
新幹線,NA,計,2007,19374
新幹線,NA,計,2008,19924
新幹線,NA,計,2009,19302
新幹線,NA,計,2010,18152
新幹線,NA,計,2011,17650
新幹線,NA,計,2012,18424
新幹線,NA,計,2013,20118
新幹線,NA,計,2014,20863
新幹線,NA,計,2015,20914
新幹線,NA,計,2016,22848
新幹線,NA,計,2017,23176
新幹線,NA,計,2018,23371
新幹線,NA,計,2019,23742
新幹線,NA,計,2020,22524
新幹線,NA,計,2021,7950
新幹線,NA,計,2022,10384
新幹線,NA,計,2023,16494
新幹線,NA,計,2024,21230
新幹線,NA,計,2025,22679
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1988,43147
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1989,45624
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1990,47404
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1991,49727
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1992,51671
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1993,52832
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1994,53337
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1995,53391
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1996,53532
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1997,53893
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1998,53204
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1999,52716
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2000,52538
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2001,52185
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2002,51757
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2003,51483
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2004,51602
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2005,67173
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2006,67406
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2007,67860
