category,region,ticket_type,fy,yoy_percent
新幹線,NA,定期,2023,106.1
新幹線,NA,定期,2024,106.9
新幹線,NA,定期,2025,105.3
新幹線,NA,定期外,2023,167.6
新幹線,NA,定期外,2024,131
新幹線,NA,定期外,2025,107
新幹線,NA,計,2023,158.8
新幹線,NA,計,2024,128.7
新幹線,NA,計,2025,106.8
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2023,105.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2024,104.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2025,102.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2023,127.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2024,113.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2025,104.5
在来線,関東圏 （東京圏(FY2004.3まで)）,計,2023,112.5
在来線,関東圏 （東京圏(FY2004.3まで)）,計,2024,108.1
在来線,関東圏 （東京圏(FY2004.3まで)）,計,2025,103.1
在来線,その他,定期,2023,101.6
在来線,その他,定期,2024,102.4
在来線,その他,定期,2025,100.2
在来線,その他,定期外,2023,135.2
在来線,その他,定期外,2024,120.3
在来線,その他,定期外,2025,110.8
在来線,その他,計,2023,113.3
在来線,その他,計,2024,109.9
在来線,その他,計,2025,105
在来線,計,定期,2023,105
在来線,計,定期,2024,104.8
在来線,計,定期,2025,102.1
在来線,計,定期外,2023,128.1
在来線,計,定期外,2024,114.1
在来線,計,定期外,2025,104.9
在来線,計,計,2023,112.5
在来線,計,計,2024,108.2
在来線,計,計,2025,103.2
合計,計,定期,2023,105.1
合計,計,定期,2024,104.9
合計,計,定期,2025,102.2
合計,計,定期外,2023,138.1
合計,計,定期外,2024,119.3
合計,計,定期外,2025,105.6
合計,計,計,2023,117.8
合計,計,計,2024,111.4
合計,計,計,2025,103.8
