category,region,ticket_type,fy,yoy_percent
新幹線,NA,定期,1988,NA
新幹線,NA,定期,1989,154.2
新幹線,NA,定期,1990,135.7
新幹線,NA,定期,1991,156.1
新幹線,NA,定期,1992,159.4
新幹線,NA,定期,1993,130.3
新幹線,NA,定期,1994,113.6
新幹線,NA,定期,1995,110.2
新幹線,NA,定期,1996,109.9
新幹線,NA,定期,1997,109.8
新幹線,NA,定期,1998,102.8
新幹線,NA,定期,1999,110.3
新幹線,NA,定期,2000,105.4
新幹線,NA,定期,2001,104.4
新幹線,NA,定期,2002,104.8
新幹線,NA,定期,2003,99.6
新幹線,NA,定期,2004,101.5
新幹線,NA,定期,2005,102.7
新幹線,NA,定期,2006,101.1
新幹線,NA,定期,2007,101.8
新幹線,NA,定期,2008,100.9
新幹線,NA,定期,2009,100.4
新幹線,NA,定期,2010,99.2
新幹線,NA,定期,2011,99.6
新幹線,NA,定期,2012,99.3
新幹線,NA,定期,2013,101.4
新幹線,NA,定期,2014,103.7
新幹線,NA,定期,2015,96.7
新幹線,NA,定期,2016,103.9
新幹線,NA,定期,2017,100.8
新幹線,NA,定期,2018,101.5
新幹線,NA,定期,2019,101.8
新幹線,NA,定期,2020,105.3
新幹線,NA,定期,2021,80.2
新幹線,NA,定期,2022,96.2
新幹線,NA,定期,2023,106.1
新幹線,NA,定期,2024,106.9
新幹線,NA,定期,2025,105.3
新幹線,NA,定期外,1988,NA
新幹線,NA,定期外,1989,108.8
新幹線,NA,定期外,1990,101.8
新幹線,NA,定期外,1991,108.1
新幹線,NA,定期外,1992,107.7
新幹線,NA,定期外,1993,99.7
新幹線,NA,定期外,1994,97.9
新幹線,NA,定期外,1995,99.4
新幹線,NA,定期外,1996,100.8
新幹線,NA,定期外,1997,101.1
新幹線,NA,定期外,1998,103.9
新幹線,NA,定期外,1999,101.1
新幹線,NA,定期外,2000,100
新幹線,NA,定期外,2001,100.5
新幹線,NA,定期外,2002,99.9
新幹線,NA,定期外,2003,103.3
新幹線,NA,定期外,2004,102.7
新幹線,NA,定期外,2005,97.7
新幹線,NA,定期外,2006,102.8
新幹線,NA,定期外,2007,102.7
新幹線,NA,定期外,2008,103
新幹線,NA,定期外,2009,96.5
新幹線,NA,定期外,2010,93.5
新幹線,NA,定期外,2011,97
新幹線,NA,定期外,2012,104.9
新幹線,NA,定期外,2013,110
新幹線,NA,定期外,2014,103.7
新幹線,NA,定期外,2015,100.6
新幹線,NA,定期外,2016,109.7
新幹線,NA,定期外,2017,101.5
新幹線,NA,定期外,2018,100.8
新幹線,NA,定期外,2019,101.6
新幹線,NA,定期外,2020,94
新幹線,NA,定期外,2021,31.1
新幹線,NA,定期外,2022,138.8
新幹線,NA,定期外,2023,167.6
新幹線,NA,定期外,2024,131
新幹線,NA,定期外,2025,107
新幹線,NA,計,1988,NA
新幹線,NA,計,1989,109.2
新幹線,NA,計,1990,102.3
新幹線,NA,計,1991,108.9
新幹線,NA,計,1992,109
新幹線,NA,計,1993,100.9
新幹線,NA,計,1994,98.7
新幹線,NA,計,1995,100
新幹線,NA,計,1996,101.4
新幹線,NA,計,1997,101.7
新幹線,NA,計,1998,103.8
新幹線,NA,計,1999,101.8
新幹線,NA,計,2000,100.4
新幹線,NA,計,2001,100.8
新幹線,NA,計,2002,100.4
新幹線,NA,計,2003,103
新幹線,NA,計,2004,102.6
新幹線,NA,計,2005,98.1
新幹線,NA,計,2006,102.6
新幹線,NA,計,2007,102.7
新幹線,NA,計,2008,102.8
新幹線,NA,計,2009,96.9
新幹線,NA,計,2010,94
新幹線,NA,計,2011,97.2
新幹線,NA,計,2012,104.4
新幹線,NA,計,2013,109.2
新幹線,NA,計,2014,103.7
新幹線,NA,計,2015,100.2
新幹線,NA,計,2016,109.2
新幹線,NA,計,2017,101.4
新幹線,NA,計,2018,100.8
新幹線,NA,計,2019,101.6
新幹線,NA,計,2020,94.9
新幹線,NA,計,2021,35.3
新幹線,NA,計,2022,130.6
新幹線,NA,計,2023,158.8
新幹線,NA,計,2024,128.7
新幹線,NA,計,2025,106.8
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1988,NA
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1989,105.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1990,103.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1991,104.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1992,103.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1993,102.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1994,101
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1995,100.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1996,100.3
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1997,100.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1998,98.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,1999,99.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2000,99.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2001,99.3
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2002,99.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2003,99.5
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2004,100.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2005,100
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2006,100.3
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2007,100.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2008,101.8
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2009,100
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2010,99.4
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2011,100.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2012,99.4
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2013,100.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2014,101.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2015,98.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2016,102.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2017,100.4
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2018,100.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2019,100.6
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2020,100.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2021,73.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2022,98.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2023,105.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2024,104.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期,2025,102.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1988,NA
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1989,103.4
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1990,102.3
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1991,107.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1992,104.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1993,103.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1994,100.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1995,98.3
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1996,100.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1997,102.8
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1998,97.8
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,1999,101.5
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2000,101.3
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2001,99.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2002,100.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2003,101.4
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2004,101.3
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2005,99.7
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2006,101
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2007,101.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2008,103.5
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2009,99.5
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2010,97.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2011,97.6
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2012,99.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2013,104.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2014,101.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2015,101.1
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2016,103
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2017,100.4
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2018,101.6
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2019,100.9
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2020,96.2
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2021,55.6
在来線,関東圏 （東京圏(FY2004.3まで)）,定期外,2022,124.9
