stop_name_display,n_updates,median_delay_sec,p90_delay_sec
Osaki,54,0,47
Akihabara,27,16,77
Ebisu,27,0,77
Gotanda,27,0,107
Hamamatsucho,27,18,106
Harajuku,27,48,77
Ikebukuro,27,16,89.20000000000006
Kanda,27,46,59.20000000000006
Komagome,27,16,77
Meguro,27,0,47
Mejiro,27,16,77
Nippori,27,16,77
Nishi-Nippori,27,46,59.20000000000006
Okachimachi,27,17,76
Otsuka,27,46,76
Shibuya,27,0,58.600000000000065
Shimbashi,27,17,76
Shin-Okubo,27,16,88.60000000000005
Shinagawa,27,16,59.600000000000065
Shinjuku,27,46,59.20000000000006
Sugamo,27,16,59.000000000000064
Tabata,27,16,77
Takadanobaba,27,46,77
Takanawa Gateway,27,16,59.20000000000006
Tamachi,27,46,76
Tokyo,27,16,76.4
Ueno,27,46,77
Uguisudani,27,16,106
Yoyogi,27,16,106
Yurakucho,27,16,77
