day_type,hour,ref_stop,n_obs,median_hw_min,q25,q75
Weekday,5,新宿,6,10,7.25,17.25
Weekday,6,新宿,12,5,4,6
Weekday,7,新宿,16,4,4,4
Weekday,8,新宿,16,4,3.75,4
Weekday,9,新宿,13,5,4,5
Weekday,10,新宿,12,5,5,5
Weekday,11,新宿,12,5,5,5
Weekday,12,新宿,12,5,5,5
Weekday,13,新宿,12,5,5,5
Weekday,14,新宿,12,5,5,5
Weekday,15,新宿,12,5,5,5
Weekday,16,新宿,14,4.5,4,5
Weekday,17,新宿,17,3,3,4
Weekday,18,新宿,19,3,3,3
Weekday,19,新宿,17,3,3,4
Weekday,20,新宿,14,4,4,4.75
Weekday,21,新宿,14,5,4,5
Weekday,22,新宿,12,5,4,5
Weekday,23,新宿,13,5,4,5
Weekend,5,新宿,5,14,13,19
Weekend,6,新宿,8,7.5,6,9
Weekend,7,新宿,11,5,5,5
Weekend,8,新宿,12,5,5,5
Weekend,9,新宿,12,5,5,5
Weekend,10,新宿,12,5,5,5
Weekend,11,新宿,12,5,5,5
Weekend,12,新宿,15,4,4,4.5
Weekend,13,新宿,16,4,3.75,4
Weekend,14,新宿,16,4,4,4
Weekend,15,新宿,15,4,4,4
Weekend,16,新宿,18,3,3,4
Weekend,17,新宿,17,3,3,4
Weekend,18,新宿,17,4,3,4
Weekend,19,新宿,14,4,4,5
Weekend,20,新宿,14,4.5,4,5
Weekend,21,新宿,12,5,5,5
Weekend,22,新宿,12,5,4,5.25
Weekend,23,新宿,11,5,5,6
