stop_id,stop_name,stop_name_display
4222,秋葉原,Akihabara
4204,恵比寿,Ebisu
4202,五反田,Gotanda
4227,浜松町,Hamamatsucho
4206,原宿,Harajuku
4212,池袋,Ikebukuro
4223,神田,Kanda
4215,駒込,Komagome
4203,目黒,Meguro
4211,目白,Mejiro
4218,日暮里,Nippori
4217,西日暮里,Nishi-Nippori
4221,御徒町,Okachimachi
4201,大崎,Osaki
4213,大塚,Otsuka
4205,渋谷,Shibuya
4226,新橋,Shimbashi
4209,新大久保,Shin-Okubo
4230,品川,Shinagawa
4208,新宿,Shinjuku
4214,巣鴨,Sugamo
4216,田端,Tabata
4210,高田馬場,Takadanobaba
4229,高輪ゲートウェイ,Takanawa Gateway
4228,田町,Tamachi
4224,東京,Tokyo
4220,上野,Ueno
4219,鶯谷,Uguisudani
4207,代々木,Yoyogi
4225,有楽町,Yurakucho
